downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
18,0,45,55,917,1,0,1,0
18,0,46,50,284,0,1,0,1
18,0,48,2,196,0,1,0,1
18,0,48,17,144,0,1,0,1
18,0,48,18,299,0,1,0,1
18,0,48,19,569,0,1,0,1
18,0,48,40,404,0,1,0,1
18,0,48,43,866,0,1,1,0
18,0,48,45,21,0,1,1,0
18,0,48,50,734,0,1,0,1
18,0,48,51,889,0,1,0,1
18,0,49,6,894,0,1,0,1
18,0,49,10,357,0,1,1,0
18,0,49,18,610,0,1,0,1
18,0,49,30,211,0,1,0,1
18,0,49,53,354,0,1,1,0
18,0,49,54,509,0,1,0,1
18,0,50,1,377,0,1,0,1
18,0,50,6,109,0,1,0,1
18,0,50,10,726,0,1,0,1
18,0,50,25,790,0,1,0,1
18,0,50,32,715,0,1,0,1
18,0,50,44,316,0,2,1,1
18,0,50,58,226,0,1,1,0
18,0,51,2,843,0,1,1,0
18,0,51,6,248,0,1,0,1
18,0,51,7,402,0,1,0,1
18,0,51,8,557,0,1,0,1
18,0,51,15,598,0,1,0,1
18,0,51,17,906,0,1,0,1
18,0,51,21,311,0,1,0,1
18,0,51,27,83,0,1,0,1
18,0,51,28,237,0,1,0,1
18,0,51,29,392,0,1,0,1
18,0,51,50,342,0,1,0,1
18,0,52,5,406,0,1,1,0
18,0,52,21,508,0,1,0,1
18,0,52,29,646,0,1,1,0
