downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
12,23,2,24,905,0,0,1,0,0,0
12,23,2,35,871,0,0,0,1,0,0
12,23,2,47,413,0,0,0,1,0,0
12,23,2,54,455,0,0,0,1,0,0
12,23,2,57,52,0,0,0,1,0,0
12,23,3,13,270,0,0,0,1,0,0
12,23,3,20,253,0,0,0,1,0,0
12,23,3,20,542,0,0,0,1,0,0
12,23,3,29,545,0,0,1,0,0,0
12,23,3,35,894,0,0,0,1,0,0
12,23,3,37,221,0,0,1,0,0,0
12,23,3,43,50,0,0,0,1,0,0
12,23,3,53,35,0,0,0,1,0,0
12,23,3,54,16,0,0,1,0,0,0
12,23,4,2,38,0,0,1,0,0,0
12,23,4,7,117,0,0,0,1,0,0
12,23,4,7,406,0,0,0,1,0,0
12,23,4,11,330,0,0,0,1,0,0
12,23,4,13,235,1,0,0,0,0,0
12,23,4,16,813,0,0,0,1,0,0
12,23,4,17,44,0,0,0,1,0,0
12,23,4,22,931,0,0,0,1,0,0
12,23,4,23,393,0,0,0,1,0,0
12,23,4,25,759,0,0,1,0,0,0
12,23,4,26,452,0,0,0,1,0,0
12,23,4,34,416,0,0,1,0,0,0
12,23,4,39,207,1,0,0,0,0,0
12,23,4,41,630,1,0,0,0,0,0
12,23,4,46,248,0,0,0,1,0,0
12,23,4,56,636,1,0,0,0,0,0
12,23,5,4,254,0,0,1,0,0,0
12,23,5,5,466,0,0,1,0,0,0
12,23,5,6,159,1,0,0,0,0,0
12,23,5,7,255,1,0,0,0,0,0
12,23,5,10,776,1,0,0,0,0,0
12,23,5,13,27,1,0,0,0,0,0
12,23,5,14,354,0,0,0,1,0,0
12,23,5,19,837,1,0,0,0,0,0
12,23,5,21,569,1,0,0,0,0,0
12,23,5,22,319,1,0,0,0,0,0
12,23,5,22,608,1,0,0,0,0,0
12,23,5,34,612,0,0,0,1,0,0
12,23,5,37,152,1,0,0,0,0,0
12,23,5,40,961,1,0,0,0,0,0
12,23,5,47,425,1,0,0,0,0,0
12,23,5,47,772,1,0,0,0,0,0
12,23,5,52,792,1,0,0,0,0,0
12,23,6,10,107,0,1,0,0,0,0
12,23,6,23,901,1,0,0,0,0,0
12,23,6,30,827,1,0,0,0,0,0
12,23,6,42,947,0,0,1,0,0,0
12,23,7,2,50,0,0,1,0,0,0
12,23,7,5,744,0,1,0,0,0,0
12,23,7,14,343,0,0,1,0,0,0
12,23,7,14,747,0,0,1,0,0,0
12,23,7,23,982,0,1,0,0,0,0
12,23,7,27,329,0,0,1,0,0,0
12,23,7,28,541,0,1,0,0,0,0
12,23,7,37,371,0,1,0,0,0,0
12,23,7,46,721,0,1,0,0,0,0
12,23,8,8,26,0,1,0,0,0,0
12,23,8,10,961,0,0,1,0,0,0
12,23,8,32,373,0,0,1,0,0,0
12,23,8,34,682,0,1,0,0,0,0
12,23,8,38,491,0,0,1,0,0,0
12,23,8,40,280,0,1,0,0,0,0
12,23,8,43,454,0,0,1,0,0,0
12,23,8,51,880,0,0,1,0,0,0
12,23,8,54,420,0,0,1,0,0,0
12,23,9,11,562,0,0,1,0,0,0
12,23,9,13,755,0,1,0,0,0,0
12,23,9,20,623,0,1,0,0,0,0
12,23,9,23,162,0,0,1,0,0,0
12,23,9,25,9,0,0,1,0,0,0
12,23,9,26,48,0,0,1,0,0,0
12,23,9,27,318,0,0,1,0,0,0
12,23,9,29,915,0,0,1,0,0,0
12,23,9,29,973,0,0,1,0,0,0
12,23,9,32,916,0,0,1,0,0,0
12,23,9,34,763,0,0,1,0,0,0
12,23,9,36,841,0,1,0,0,0,0
12,23,9,41,54,0,1,0,0,0,0
12,23,9,48,153,0,1,0,0,0,0
12,23,9,50,750,0,0,1,0,0,0
12,23,9,50,808,0,0,1,0,0,0
12,23,9,57,849,0,0,1,0,0,0
12,23,10,3,967,0,0,1,0,0,0
12,23,10,5,294,0,0,1,0,0,0
12,23,10,9,911,0,0,1,0,0,0
12,23,10,11,816,0,0,1,0,0,0
12,23,10,16,779,0,0,1,0,0,0
12,23,10,23,589,0,1,0,0,0,0
12,23,10,26,13,0,0,1,0,0,0
12,23,10,45,810,0,0,1,0,0,0
12,23,10,55,563,0,1,0,0,0,0
12,23,10,58,333,0,0,1,0,0,0
12,23,11,8,376,0,0,1,0,0,0
12,23,11,13,685,0,0,1,0,0,0
12,23,11,25,517,0,0,0,0,1,0
12,23,11,39,253,0,0,1,0,0,0
12,23,11,44,678,0,1,0,0,0,0
12,23,11,45,255,0,0,1,0,0,0
12,23,11,47,852,0,0,1,0,0,0
12,23,11,51,431,0,0,1,0,0,0
