Downcast,Hour,minute,second,s/1000,Count,App_in_hse
5,19,35,48,765,0,0
5,19,35,51,188,0,0
5,19,35,51,362,0,0
5,19,35,52,804,0,0
5,19,35,53,959,1,0
5,19,35,55,113,0,0
5,19,35,56,671,0,0
5,19,35,57,825,0,0
5,19,35,58,691,0,0
5,19,36,0,307,0,0
5,19,36,2,327,0,0
5,19,36,2,904,0,0
5,19,36,3,597,0,0
5,19,36,4,636,0,0
5,19,36,5,905,0,0
5,19,36,5,963,0,0
5,19,36,6,194,0,0
5,19,36,6,483,0,0
5,19,36,6,944,0,0
5,19,36,7,522,0,0
5,19,36,7,868,0,0
5,19,36,8,99,0,0
5,19,36,10,234,0,0
5,19,36,10,292,0,0
5,19,36,10,927,0,0
5,19,36,11,42,0,0
5,19,36,11,215,0,0
5,19,36,13,466,0,0
5,19,36,13,582,0,0
5,19,36,13,639,0,0
5,19,36,14,274,0,0
5,19,36,15,428,0,0
5,19,36,15,486,0,0
5,19,36,15,832,0,0
5,19,36,16,294,0,0
5,19,36,16,409,0,0
5,19,36,17,102,0,0
5,19,36,17,160,0,0
5,19,36,18,83,0,0
5,19,36,18,776,0,0
5,19,36,18,833,0,0
5,19,36,19,584,0,0
5,19,36,19,641,0,0
5,19,36,19,699,0,0
5,19,36,19,757,0,0
5,19,36,19,815,0,0
5,19,36,20,103,0,0
5,19,36,20,219,0,0
5,19,36,20,392,0,0
5,19,36,20,507,0,0
5,19,36,20,623,0,0
5,19,36,20,680,0,0
5,19,36,20,796,0,0
5,19,36,20,853,0,0
5,19,36,20,911,0,0
5,19,36,21,27,0,0
5,19,36,21,142,0,0
5,19,36,21,200,0,0
5,19,36,21,373,0,0
5,19,36,21,604,0,0
5,19,36,21,777,0,0
5,19,36,21,835,0,0
5,19,36,21,892,0,0
5,19,36,22,239,0,0
5,19,36,22,412,0,0
5,19,36,22,469,0,0
5,19,36,22,527,0,0
5,19,36,22,873,0,0
5,19,36,22,931,0,0
5,19,36,22,989,0,0
5,19,36,23,220,0,0
5,19,35,49,919,0,2
5,19,35,51,73,0,2
5,19,35,52,227,0,3
5,19,35,54,478,0,1
5,19,35,56,729,0,1
5,19,35,57,883,0,4
5,19,35,58,980,0,4
5,19,36,0,134,0,1
5,19,36,1,288,0,2
5,19,36,3,597,0,2
5,19,36,4,751,0,2
5,19,36,6,21,0,1
5,19,36,7,291,0,1
5,19,36,9,599,0,3
5,19,36,10,754,0,5
5,19,36,11,908,0,3
5,19,36,14,216,0,3
5,19,36,15,371,0,2
5,19,36,16,467,0,3
5,19,36,17,621,0,2
5,19,36,18,776,0,2
5,19,36,19,930,0,2
5,19,36,22,239,0,2
5,19,36,23,566,0,0
5,19,36,23,855,0,0
5,19,36,23,970,0,0
5,19,36,24,259,0,0
5,19,36,24,316,0,0
5,19,36,24,432,0,0
5,19,36,24,490,0,0
5,19,36,24,547,0,0
5,19,36,24,605,0,0
5,19,36,24,778,0,0
5,19,36,24,951,0,0
5,19,36,25,9,0,0
5,19,36,25,298,0,0
5,19,36,25,355,0,0
5,19,36,25,413,0,0
5,19,36,25,586,0,0
5,19,36,25,702,0,0
5,19,36,25,759,0,0
5,19,36,25,875,0,0
5,19,36,26,48,0,0
5,19,36,26,163,0,0
5,19,36,26,221,0,0
5,19,36,26,279,0,0
5,19,36,26,336,0,0
5,19,36,26,394,1,0
5,19,36,26,510,0,0
5,19,36,26,567,0,0
5,19,36,26,625,0,0
5,19,36,26,740,0,0
5,19,36,26,856,0,0
5,19,36,26,914,0,0
5,19,36,26,971,0,0
5,19,36,27,202,0,0
5,19,36,27,318,0,0
5,19,36,27,375,0,0
5,19,36,27,433,0,0
5,19,36,27,606,0,0
5,19,36,27,664,0,0
5,19,36,27,722,0,0
5,19,36,27,895,0,0
5,19,36,28,126,0,0
5,19,36,28,183,0,0
5,19,36,28,241,0,0
5,19,36,28,299,0,0
5,19,36,28,414,0,0
5,19,36,28,472,0,0
5,19,36,28,530,0,0
5,19,36,28,587,0,0
5,19,36,28,703,0,0
5,19,36,28,818,0,0
5,19,36,28,876,0,0
5,19,36,28,934,0,0
5,19,36,28,991,0,0
5,19,36,29,49,0,0
5,19,36,29,164,0,0
5,19,36,29,222,0,0
5,19,36,29,280,0,0
5,19,36,29,568,0,0
5,19,36,29,626,0,0
5,19,36,29,799,0,0
5,19,36,29,915,0,0
5,19,36,29,972,0,0
5,19,36,30,88,0,0
5,19,36,30,203,0,0
5,19,36,30,376,0,0
5,19,36,30,492,0,0
5,19,36,31,184,0,0
5,19,36,31,300,0,0
5,19,36,31,358,0,0
5,19,36,31,531,0,0
5,19,36,31,704,0,0
5,19,36,31,762,0,0
5,19,36,31,992,0,0
5,19,36,32,50,0,0
5,19,36,32,339,0,0
5,19,36,32,569,0,0
5,19,36,32,627,0,0
5,19,36,32,800,0,0
5,19,36,32,916,0,0
5,19,36,33,89,0,0
5,19,36,33,320,0,0
5,19,36,33,377,0,0
5,19,36,33,493,0,0
5,19,36,33,608,0,0
5,19,36,33,666,0,0
5,19,36,33,724,1,0
5,19,36,33,781,0,0
5,19,36,33,897,0,0
5,19,36,33,955,0,0
5,19,36,34,12,0,0
5,19,36,34,70,0,0
5,19,36,34,185,0,0
5,19,36,34,243,0,0
5,19,36,34,301,0,0
5,19,36,34,416,0,0
5,19,36,34,589,0,0
5,19,36,34,705,0,0
5,19,36,34,763,0,0
5,19,36,34,878,0,0
5,19,36,35,167,0,0
5,19,36,35,397,0,0
5,19,36,35,513,0,0
5,19,36,35,571,0,0
5,19,36,35,686,0,0
5,19,36,36,32,0,0
5,19,36,36,321,0,0
5,19,36,36,609,0,0
5,19,36,37,13,0,0
5,19,36,37,71,0,0
5,19,36,37,129,0,0
5,19,36,37,244,0,0
5,19,36,37,533,0,0
5,19,36,37,591,0,0
5,19,36,37,821,0,0
5,19,36,38,52,0,0
5,19,36,38,283,0,0
5,19,36,38,629,0,0
5,19,36,38,687,0,0
5,19,36,38,860,0,0
5,19,36,38,918,0,0
5,19,36,39,533,0,0
5,19,36,39,726,0,0
5,19,36,39,784,0,0
5,19,36,39,841,0,0
5,19,36,39,857,0,0
5,19,36,40,15,0,0
5,19,36,40,130,0,0
5,19,36,40,33,0,0
5,19,36,40,707,0,0
5,19,36,40,765,0,0
5,19,36,24,663,0,1
5,19,36,25,817,0,3
5,19,36,28,126,0,2
5,19,36,29,280,0,2
5,19,36,30,424,0,1
5,19,36,32,743,0,1
5,19,36,33,879,0,1
5,19,36,35,51,0,1
5,19,36,37,360,0,1
5,19,36,39,668,0,2
5,19,36,40,823,0,1
5,19,36,41,111,0,0
5,19,36,41,284,1,0
5,19,36,41,631,1,0
5,19,36,41,746,1,0
5,19,36,41,977,0,0
5,19,36,42,35,0,0
5,19,36,42,92,0,0
5,19,36,42,208,0,0
5,19,36,42,381,0,0
5,19,36,42,612,0,0
5,19,36,42,785,0,0
5,19,36,42,958,0,0
5,19,36,43,74,0,0
5,19,36,43,131,0,0
5,19,36,43,247,0,0
5,19,36,43,304,0,0
5,19,36,43,362,0,0
5,19,36,43,478,0,0
5,19,36,43,535,0,0
5,19,36,43,651,0,0
5,19,36,43,939,0,0
5,19,36,43,997,0,0
5,19,36,44,228,0,0
5,19,36,44,343,0,0
5,19,36,44,574,0,0
5,19,36,44,690,0,0
5,19,36,44,747,1,0
5,19,36,45,94,0,0
5,19,36,45,151,0,0
5,19,36,45,324,0,0
5,19,36,45,440,0,0
5,19,36,45,728,0,0
5,19,36,46,17,1,0
5,19,36,46,248,1,0
5,19,36,46,363,0,0
5,19,36,46,594,0,0
5,19,36,46,652,0,0
5,19,36,46,767,1,0
5,19,36,46,825,0,0
5,19,36,46,998,0,0
5,19,36,47,56,1,0
5,19,36,47,114,0,0
5,19,36,47,402,0,0
5,19,36,47,575,0,0
5,19,36,47,691,1,0
5,19,36,47,864,0,0
5,19,36,48,37,1,0
5,19,36,48,268,0,0
5,19,36,48,845,1,0
5,19,36,49,76,1,0
5,19,36,49,134,0,0
5,19,36,49,711,1,0
5,19,36,49,884,0,0
5,19,36,50,230,0,0
5,19,36,50,576,0,0
5,19,36,50,980,0,0
5,19,36,51,153,1,0
5,19,36,51,442,1,0
5,19,36,51,731,0,0
5,19,36,51,788,0,0
5,19,36,51,846,0,0
5,19,36,52,19,1,0
5,19,36,52,539,0,0
5,19,36,52,654,0,0
5,19,36,52,712,0,0
5,19,36,52,827,1,0
5,19,36,53,116,1,0
5,19,36,53,404,0,0
5,19,36,53,520,0,0
5,19,36,53,808,0,0
5,19,36,53,924,1,0
5,19,36,54,155,1,0
5,19,36,54,501,0,0
5,19,36,54,616,0,0
5,19,36,54,732,0,0
5,19,36,54,905,0,0
