"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
12,21,30,2,657,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,3,811,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,6,120,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,7,274,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,9,583,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
12,21,30,10,737,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,11,891,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
12,21,30,13,45,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
12,21,30,14,200,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
12,21,30,15,354,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,16,508,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,17,663,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
12,21,30,18,875,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,20,29,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,21,183,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
12,21,30,22,338,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,30,23,492,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
12,21,30,24,646,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
12,21,30,25,800,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,26,955,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,28,109,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
12,21,30,29,263,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,30,30,417,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
