"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
16,22,38,54,963,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,55,771,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,56,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,38,56,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,38,56,925,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
16,22,38,57,99,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,57,272,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,57,560,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
16,22,38,57,676,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,57,964,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
16,22,38,58,80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,38,58,137,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,38,59,638,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,59,984,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,0,215,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,0,792,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,0,965,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,1,23,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,1,369,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,2,120,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,3,159,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,4,24,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,4,197,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,4,255,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,4,313,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,4,659,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,5,236,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,5,467,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,5,756,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,5,813,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,5,929,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,5,986,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,6,102,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,6,910,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,7,718,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,7,949,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
16,22,39,8,180,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,8,814,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,9,161,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,9,276,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,9,565,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,10,142,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
16,22,39,10,430,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,10,488,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,10,546,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,11,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,11,527,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,11,989,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,12,46,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,38,56,60,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,38,57,214,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,38,58,368,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,38,59,523,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
16,22,39,0,677,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,1,831,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,2,985,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,4,140,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,5,294,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,6,448,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,11,123,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,12,220,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,12,278,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,12,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,12,451,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,12,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,12,624,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,13,432,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,14,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,14,932,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,15,48,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,15,105,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,15,452,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,17,241,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,18,741,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,19,30,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,20,704,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,22,204,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,22,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,23,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,23,243,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,23,358,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
