downcast,hour,min,sec,s/1000,H1,H2,H3,H5a,H5b,H6,H7,H7*,H8,H9,H9*,H10,H11,H13,H14,H15,VSH,Annatiara,R1,R2,R3,R4-Aegina,R5,Doliolids,Appendicularians,App in Hse,MUAT,LEMU,SPKO,Si 2 Eu,NABI,AGEL,COOR
18,23,11,55,324,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,55,554,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,55,612,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,55,843,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,56,651,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,56,882,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,56,940,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,56,997,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
18,23,11,57,805,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,57,863,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,57,921,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,58,325,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,58,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
18,23,11,58,844,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,59,191,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,59,652,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,11,59,710,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,11,59,941,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,287,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,345,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,460,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,576,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,691,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,0,864,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,1,153,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,1,845,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,2,538,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,3,115,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,4,385,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,4,443,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,4,500,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,4,616,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,4,731,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,4,904,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,5,251,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,5,308,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
18,23,12,5,655,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,5,713,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,5,770,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,5,828,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,6,59,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,6,117,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,6,347,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,6,809,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,7,98,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,7,329,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,7,502,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,7,617,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,7,675,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,7,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
18,23,12,8,483,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
18,23,12,8,771,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,8,887,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,8,945,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,9,176,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,9,233,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,9,349,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,9,810,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,9,868,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,9,926,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
18,23,12,10,618,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,10,676,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,11,138,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,11,196,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,11,542,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,11,773,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23,12,12,177,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
