downcast,hour,min,sec,s/1000,H1,H2,H3,H5a,H5b,H6,H7,H7*,H8,H9,H9*,H10,H11,H13,H14,H15,VSH,Annatiara,R1,R2,R3,r4-aegina,R5,Doliolids,Appendicularians,App in Hse,MUAT,LEMU,SPKO,Si 2 Eu,NABI,AGEL,COOR
20,23,47,32,207,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,32,495,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,32,669,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,32,899,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,32,957,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,33,303,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,33,361,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,33,477,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,33,650,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,34,54,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
20,23,47,34,111,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,34,458,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,34,515,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,34,573,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,34,689,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,34,862,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
20,23,47,34,919,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,35,35,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,35,150,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,35,266,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,35,323,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,35,612,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,35,670,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,35,727,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,35,843,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,35,901,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,35,958,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,36,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,36,74,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,36,131,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,36,247,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,36,305,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,36,420,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,36,535,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,36,651,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
