"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","r4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
22,0,24,53,91,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,53,437,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
22,0,24,54,187,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,54,764,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,54,822,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,54,937,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,54,995,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,24,55,11,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,55,168,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,55,341,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,55,399,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,55,457,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,55,864,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,55,919,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,55,976,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,56,611,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,56,727,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,56,842,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,56,900,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
22,0,24,56,958,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,73,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,246,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,304,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,419,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,24,57,535,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,24,57,823,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,881,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,57,996,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,58,170,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,58,227,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,58,285,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,58,343,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,58,458,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,58,516,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,58,574,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,58,747,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,58,804,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,59,35,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,59,151,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,59,439,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,59,497,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,59,555,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,24,59,612,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,59,670,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,59,728,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,24,59,843,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,0,74,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,0,247,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,0,305,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,0,421,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,0,536,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,0,709,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,0,825,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,55,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,113,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,171,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,1,229,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,1,344,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,1,402,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,459,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,517,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,690,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,748,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,1,863,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,2,37,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,2,94,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,2,210,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,2,383,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,2,498,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,2,845,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
22,0,25,2,960,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,3,18,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,3,191,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,3,364,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,172,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,230,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,
22,0,25,4,576,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,4,692,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,922,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,4,980,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,5,96,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,153,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,269,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,5,442,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,5,500,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,25,5,557,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,961,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,6,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
