"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,35,48,765,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,51,188,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,51,362,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,52,804,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,53,959,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,35,55,113,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,56,671,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,35,57,825,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,58,691,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,0,307,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,2,327,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,2,904,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,3,597,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,4,636,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,5,905,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,5,963,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,6,194,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,6,483,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,6,944,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,7,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,7,868,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,8,99,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,10,234,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,36,10,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,10,927,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,11,42,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,11,215,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,13,466,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,13,582,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,
5,19,36,13,639,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,14,274,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,15,428,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,15,486,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,15,832,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,16,294,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,16,409,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,17,102,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,17,160,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,18,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,18,776,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,18,833,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,19,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,19,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,19,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,19,757,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,19,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,20,103,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,20,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,20,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,20,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,20,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,20,680,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,20,796,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,20,853,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,20,911,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,21,27,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,21,142,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
5,19,36,21,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,21,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,21,604,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,21,777,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,36,21,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,21,892,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,22,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,22,412,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,22,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,22,527,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,22,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,22,931,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,36,22,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,23,220,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,35,49,919,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,35,51,73,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,35,52,227,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5,19,35,54,478,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,35,56,729,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,35,57,883,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
5,19,35,58,980,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
5,19,36,0,134,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,1,288,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,3,597,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,4,751,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,6,21,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,7,291,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,9,599,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5,19,36,10,754,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
5,19,36,11,908,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5,19,36,14,216,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5,19,36,15,371,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,16,467,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
5,19,36,17,621,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,18,776,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,19,930,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,22,239,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,23,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,23,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,23,970,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,24,259,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,36,24,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,24,432,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,
5,19,36,24,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,24,547,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,24,605,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,24,778,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
