"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse"
6,19,51,45,95,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,45,211,,,,,,,,,,,,,,,,,2,,,,,,,,,
6,19,51,45,268,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,45,326,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,45,730,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,47,635,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,47,692,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,47,923,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,49,366,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,49,943,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,50,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,50,232,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,50,289,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,50,924,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,51,328,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,51,905,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,52,194,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,52,598,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,52,944,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,53,290,,,,,,,,,,,,,,,,,2,,,,,,,,,
6,19,51,53,810,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,54,445,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,54,618,,,,,,,,,,,,,,,,,2,,,,,,,,,
6,19,51,54,733,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,54,906,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,56,3,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,57,300,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,57,446,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,51,59,754,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,0,216,,,,,,,,,,,,,,,,,2,,,,,,,,,
6,19,51,45,384,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,51,46,538,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,51,47,692,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,51,48,847,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,51,50,1,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,51,51,155,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,51,52,309,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,51,53,464,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,51,54,618,,,,,,,,,,,,,,,,,,,,,,,,,1,
