downcast,hour,min,sec,s/1000,Type1,Type2,Type3,Type4,Type5,Type1_wotail,Type2_wotail,Type3_wotail
6,19,53,45,487,1,0,0,0,0,0,0,0
6,19,53,48,200,1,0,0,0,0,0,0,0
6,19,53,49,758,1,0,0,0,0,0,0,0
6,19,53,54,29,1,0,0,0,0,0,0,0
6,19,53,54,548,0,1,0,0,0,0,0,0
6,19,53,56,337,0,1,0,0,0,0,0,0
6,19,53,57,30,0,1,0,0,0,0,0,0
6,19,53,59,223,0,1,0,0,0,0,0,0
6,19,53,59,338,0,1,0,0,0,0,0,0
6,19,53,59,396,0,1,0,0,0,0,0,0
6,19,53,59,512,0,1,0,0,0,0,0,0
6,19,54,1,128,0,1,0,0,0,0,0,0
6,19,54,1,301,0,1,0,0,0,0,0,0
6,19,54,3,898,0,1,0,0,0,0,0,0
6,19,54,6,91,0,1,0,0,0,0,0,0
6,19,54,7,15,0,1,0,0,0,0,0,0
6,19,54,7,592,0,1,0,0,0,0,0,0
6,19,54,7,938,0,1,0,0,0,0,0,0
6,19,54,9,265,0,1,0,0,0,0,0,0
6,19,54,11,343,0,1,0,0,0,0,0,0
6,19,54,11,459,0,1,0,0,0,0,0,0
6,19,54,17,172,0,1,0,0,0,0,0,0
6,19,54,18,557,0,1,0,0,0,0,0,0
6,19,54,23,59,0,1,0,0,0,0,0,0
6,19,54,35,122,0,1,0,0,0,0,0,0
6,19,54,53,879,0,1,0,0,0,0,0,0
6,19,55,1,959,0,1,0,0,0,0,0,0
6,19,55,38,954,0,1,0,0,0,0,0,0
6,19,58,34,580,0,0,1,0,0,0,0,0
7,20,7,26,477,1,0,0,0,0,0,0,0
7,20,7,38,655,0,1,0,0,0,0,0,0
7,20,7,39,232,0,1,0,0,0,0,0,0
7,20,7,41,310,1,0,0,0,0,0,0,0
7,20,7,43,272,0,1,0,0,0,0,0,0
7,20,7,43,849,0,1,0,0,0,0,0,0
7,20,7,44,946,0,1,0,0,0,0,0,0
7,20,7,47,254,1,0,0,0,0,0,0,0
7,20,7,48,236,1,0,0,0,0,0,0,0
7,20,7,49,794,0,1,0,0,0,0,0,0
7,20,7,49,967,0,1,0,0,0,0,0,0
7,20,7,50,429,0,1,0,0,0,0,0,0
7,20,7,50,891,0,1,0,0,0,0,0,0
7,20,7,52,103,0,1,0,0,0,0,0,0
7,20,7,52,160,0,1,0,0,0,0,0,0
7,20,7,53,488,0,1,0,0,0,0,0,0
7,20,7,54,527,1,0,0,0,0,0,0,0
7,20,7,55,219,0,1,0,0,0,0,0,0
7,20,7,55,566,0,1,0,0,0,0,0,0
7,20,7,55,854,0,1,0,0,0,0,0,0
7,20,7,56,143,0,1,0,0,0,0,0,0
7,20,7,56,604,0,1,0,0,0,0,0,0
7,20,7,57,67,0,1,0,0,0,0,0,0
7,20,7,57,701,0,1,0,0,0,0,0,0
7,20,7,58,740,1,0,0,0,0,0,0,0
7,20,7,58,971,0,1,0,0,0,0,0,0
7,20,7,59,260,0,1,0,0,0,0,0,0
7,20,7,59,433,0,1,0,0,0,0,0,0
7,20,7,59,894,0,1,0,0,0,0,0,0
7,20,8,0,702,0,1,0,0,0,0,0,0
7,20,8,1,106,1,0,0,0,0,0,0,0
7,20,8,1,914,0,1,0,0,0,0,0,0
7,20,8,2,261,0,1,0,0,0,0,0,0
7,20,8,2,549,0,1,0,0,0,0,0,0
7,20,8,4,281,0,1,0,0,0,0,0,0
7,20,8,5,550,0,1,0,0,0,0,0,0
7,20,8,5,608,0,1,0,0,0,0,0,0
7,20,8,5,897,0,1,0,0,0,0,0,0
7,20,8,6,993,0,1,0,0,0,0,0,0
7,20,8,7,109,0,1,0,0,0,0,0,0
7,20,8,7,859,0,1,0,0,0,0,0,0
7,20,8,7,974,0,1,0,0,0,0,0,0
7,20,8,8,32,0,1,0,0,0,0,0,0
7,20,8,8,667,0,1,0,0,0,0,0,0
7,20,8,9,13,1,0,0,0,0,0,0,0
7,20,8,9,186,0,1,0,0,0,0,0,0
7,20,8,9,937,0,1,0,0,0,0,0,0
7,20,8,11,437,0,1,0,0,0,0,0,0
7,20,8,11,553,0,1,0,0,0,0,0,0
7,20,8,11,957,0,1,0,0,0,0,0,0
7,20,8,12,187,0,1,0,0,0,0,0,0
7,20,8,12,707,0,1,0,0,0,0,0,0
7,20,8,13,111,0,1,0,0,0,0,0,0
7,20,8,13,630,0,1,0,0,0,0,0,0
7,20,8,14,381,0,1,0,0,0,0,0,0
7,20,8,14,785,0,1,0,0,0,0,0,0
7,20,8,15,16,0,1,0,0,0,0,0,0
7,20,8,15,477,0,1,0,0,0,0,0,0
7,20,8,15,766,0,1,0,0,0,0,0,0
7,20,8,16,170,0,1,0,0,0,0,0,0
7,20,8,16,228,0,2,0,0,0,0,0,0
7,20,8,16,458,0,1,0,0,0,0,0,0
7,20,8,16,805,0,1,0,0,0,0,0,0
7,20,8,17,440,0,1,0,0,0,0,0,0
7,20,8,17,555,0,3,0,0,0,0,0,0
7,20,8,17,728,0,1,0,0,0,0,0,0
7,20,8,18,132,0,1,0,0,0,0,0,0
7,20,8,18,305,0,1,0,0,0,0,0,0
7,20,8,18,421,0,1,0,0,0,0,0,0
7,20,8,18,478,0,2,0,0,0,0,0,0
7,20,8,18,882,0,1,0,0,0,0,0,0
7,20,8,19,171,0,1,0,0,0,0,0,0
7,20,8,19,517,0,1,0,0,0,0,0,0
7,20,8,20,210,0,1,0,0,0,0,0,0
7,20,8,20,383,0,1,0,0,0,0,0,0
7,20,8,21,480,1,0,0,0,0,0,0,0
7,20,8,21,653,0,1,0,0,0,0,0,0
7,20,8,21,710,0,1,0,0,0,0,0,0
7,20,8,21,884,0,1,0,0,0,0,0,0
7,20,8,22,230,0,1,0,0,0,0,0,0
7,20,8,22,288,0,1,0,0,0,0,0,0
7,20,8,22,980,0,1,0,0,0,0,0,0
7,20,8,23,384,0,1,0,0,0,0,0,0
7,20,8,25,58,0,1,0,0,0,0,0,0
7,20,8,25,981,0,1,0,0,0,0,0,0
7,20,8,26,39,0,1,0,0,0,0,0,0
7,20,8,26,789,0,1,0,0,0,0,0,0
7,20,8,27,78,0,1,0,0,0,0,0,0
7,20,8,27,482,0,1,0,0,0,0,0,0
7,20,8,27,539,0,1,0,0,0,0,0,0
7,20,8,27,943,0,1,0,0,0,0,0,0
7,20,8,28,232,0,1,0,0,0,0,0,0
7,20,8,28,925,0,1,0,0,0,0,0,0
7,20,8,29,40,0,1,0,0,0,0,0,0
7,20,8,29,329,0,1,0,0,0,0,0,0
7,20,8,29,559,0,0,0,1,0,0,0,0
7,20,8,29,848,0,1,0,0,0,0,0,0
7,20,8,31,406,0,2,0,0,0,0,0,0
7,20,8,31,522,0,1,0,0,0,0,0,0
7,20,8,32,157,1,0,0,0,0,0,0,0
7,20,8,33,253,1,0,0,0,0,0,0,0
7,20,8,33,946,0,2,0,0,0,0,0,0
7,20,8,34,4,0,1,0,0,0,0,0,0
7,20,8,34,61,0,1,0,0,0,0,0,0
7,20,8,34,119,0,1,0,0,0,0,0,0
7,20,8,35,446,0,1,0,0,0,0,0,0
7,20,8,35,677,0,1,0,0,0,0,0,0
7,20,8,35,850,0,1,0,0,0,0,0,0
7,20,8,37,5,0,1,0,0,0,0,0,0
7,20,8,37,582,0,1,0,0,0,0,0,0
7,20,8,37,640,0,1,0,0,0,0,0,0
7,20,8,37,755,0,1,0,0,0,0,0,0
7,20,8,38,563,0,1,0,0,0,0,0,0
7,20,8,39,429,0,1,0,0,0,0,0,0
7,20,8,39,544,0,1,0,0,0,0,0,0
7,20,8,40,871,0,1,0,0,0,0,0,0
7,20,8,41,853,0,1,0,0,0,0,0,0
7,20,8,42,487,0,1,0,0,0,0,0,0
7,20,8,42,603,0,1,0,0,0,0,0,0
7,20,8,43,411,0,1,0,0,0,0,0,0
7,20,8,43,757,0,1,0,0,0,0,0,0
7,20,8,43,930,0,1,0,0,0,0,0,0
7,20,8,47,624,0,1,0,0,0,0,0,0
7,20,8,49,298,0,1,0,0,0,0,0,0
7,20,8,49,702,0,1,0,0,0,0,0,0
7,20,8,50,48,0,1,0,0,0,0,0,0
7,20,8,50,452,0,1,0,0,0,0,0,0
7,20,9,9,325,0,1,0,0,0,0,0,0
7,20,10,21,352,1,0,0,0,0,0,0,0
7,20,10,24,642,0,0,1,0,0,0,0,0
7,20,11,1,984,0,0,1,0,0,0,0,0
7,20,11,13,523,0,1,0,0,0,0,0,0
7,20,11,20,741,1,0,0,0,0,0,0,0
7,20,11,57,216,1,0,0,0,0,0,0,0
7,20,12,22,669,0,0,0,1,0,0,0,0
7,20,12,26,362,0,0,0,1,0,0,0,0
7,20,12,30,806,1,0,0,0,0,0,0,0
7,20,12,31,152,0,1,0,0,0,0,0,0
7,20,12,40,964,1,0,0,0,0,0,0,0
7,20,12,41,830,0,0,0,1,0,0,0,0
7,20,13,8,147,1,0,0,0,0,0,0,0
8,20,22,7,721,1,0,0,0,0,0,0,0
8,20,22,14,128,0,0,0,1,0,0,0,0
8,20,22,26,594,0,1,0,0,0,0,0,0
8,20,22,29,249,0,1,0,0,0,0,0,0
8,20,22,30,345,0,1,0,0,0,0,0,0
8,20,22,31,615,0,1,0,0,0,0,0,0
8,20,22,32,365,1,0,0,0,0,0,0,0
8,20,22,33,231,1,0,0,0,0,0,0,0
8,20,22,33,635,0,1,0,0,0,0,0,0
8,20,22,34,962,0,1,0,0,0,0,0,0
8,20,22,36,463,0,1,0,0,0,0,0,0
8,20,22,37,213,0,1,0,0,0,0,0,0
8,20,22,37,559,1,0,0,0,0,0,0,0
8,20,22,37,963,0,0,1,0,0,0,0,0
8,20,22,39,233,1,0,0,0,0,0,0,0
8,20,22,39,579,0,2,0,0,0,0,0,0
8,20,22,40,849,0,1,0,0,0,0,0,0
8,20,22,42,350,0,2,0,0,0,0,0,0
8,20,22,42,811,0,1,0,0,0,0,0,0
8,20,22,43,158,0,1,0,0,0,0,0,0
8,20,22,43,331,0,1,0,0,0,0,0,0
8,20,22,44,254,0,1,0,0,0,0,0,0
8,20,22,45,293,0,2,0,0,0,0,0,0
8,20,22,45,928,0,1,0,0,0,0,0,0
8,20,22,46,332,1,0,0,0,0,0,0,0
8,20,22,46,390,0,2,0,0,0,0,0,0
8,20,22,46,852,0,1,0,0,0,0,0,0
8,20,22,50,718,0,1,0,0,0,0,0,0
8,20,22,52,565,0,1,0,0,0,0,0,0
8,20,22,53,431,0,1,0,0,0,0,0,0
8,20,22,53,662,0,1,0,0,0,0,0,0
8,20,22,54,8,0,1,0,0,0,0,0,0
8,20,22,54,239,0,2,0,0,0,0,0,0
8,20,22,54,297,0,1,0,0,0,0,0,0
8,20,22,54,527,0,1,0,0,0,0,0,0
8,20,22,55,913,0,1,0,0,0,0,0,0
8,20,22,56,778,0,1,0,0,0,0,0,0
8,20,22,58,394,0,1,0,0,0,0,0,0
8,20,22,58,567,0,1,0,0,0,0,0,0
8,20,22,58,683,1,0,0,0,0,0,0,0
8,20,22,58,798,0,1,0,0,0,0,0,0
8,20,22,58,914,1,0,0,0,0,0,0,0
8,20,22,58,971,0,1,0,0,0,0,0,0
8,20,23,0,703,0,1,0,0,0,0,0,0
8,20,23,0,876,0,0,1,0,0,0,0,0
8,20,23,1,684,0,1,0,0,0,0,0,0
8,20,23,2,319,0,1,0,0,0,0,0,0
8,20,23,2,723,0,1,0,0,0,0,0,0
8,20,23,3,762,0,1,0,0,0,0,0,0
8,20,23,3,935,0,2,0,0,0,0,0,0
8,20,23,4,50,0,1,0,0,0,0,0,0
8,20,23,4,108,0,1,0,0,0,0,0,0
8,20,23,4,570,0,1,0,0,0,0,0,0
8,20,23,4,628,0,1,0,0,0,0,0,0
8,20,23,9,360,0,1,0,0,0,0,0,0
8,20,23,13,227,0,1,0,0,0,0,0,0
8,20,23,17,787,1,0,0,0,0,0,0,0
8,20,23,19,806,0,1,0,0,0,0,0,0
8,20,23,23,269,0,1,0,0,0,0,0,0
8,20,23,23,558,0,1,0,0,0,0,0,0
8,20,23,24,885,0,1,0,0,0,0,0,0
8,20,23,26,155,0,1,0,0,0,0,0,0
8,20,23,27,194,0,1,0,0,0,0,0,0
8,20,23,27,482,0,1,0,0,0,0,0,0
8,20,23,29,675,0,1,0,0,0,0,0,0
8,20,23,30,772,0,1,0,0,0,0,0,0
8,20,23,34,466,0,1,0,0,0,0,0,0
8,20,23,37,352,0,1,0,0,0,0,0,0
8,20,23,40,468,0,1,0,0,0,0,0,0
8,20,23,42,430,0,2,0,0,0,0,0,0
8,20,23,42,488,0,1,0,0,0,0,0,0
8,20,23,44,681,0,1,0,0,0,0,0,0
8,20,23,46,470,0,1,0,0,0,0,0,0
8,20,23,48,375,0,1,0,0,0,0,0,0
8,20,23,50,683,0,1,0,0,0,0,0,0
8,20,23,52,704,0,0,1,0,0,0,0,0
8,20,24,20,349,0,0,1,0,0,0,0,0
8,20,24,28,949,0,0,1,0,0,0,0,0
8,20,24,29,7,0,0,1,0,0,0,0,0
8,20,24,47,475,0,0,1,0,0,0,0,0
8,20,24,52,323,1,0,0,0,0,0,0,0
8,20,24,55,671,0,0,1,0,0,0,0,0
8,20,24,57,287,0,0,1,0,0,0,0,0
8,20,25,3,58,0,1,0,0,0,0,0,0
8,20,25,3,635,0,1,0,0,0,0,0,0
8,20,25,4,905,0,1,0,0,0,0,0,0
8,20,25,15,5,0,0,1,0,0,0,0,0
8,20,26,16,111,0,0,1,0,0,0,0,0
8,20,26,33,343,0,0,1,0,0,0,0,0
8,20,29,18,558,0,0,1,0,0,0,0,0
8,20,29,19,77,0,1,0,0,0,0,0,0
8,20,29,26,407,0,0,1,0,0,0,0,0
8,20,29,28,254,0,0,1,0,0,0,0,0
9,20,39,49,667,0,1,0,0,0,0,0,0
9,20,39,52,33,0,1,0,0,0,0,0,0
9,20,39,57,170,0,0,0,1,0,0,0,0
9,20,39,57,458,1,0,0,0,0,0,0,0
9,20,39,58,35,0,1,0,0,0,0,0,0
9,20,39,58,612,0,1,0,0,0,0,0,0
9,20,40,0,806,1,0,0,0,0,0,0,0
9,20,40,1,152,1,0,0,0,0,0,0,0
9,20,40,4,557,0,0,0,1,0,0,0,0
9,20,40,11,598,1,0,0,0,0,0,0,0
9,20,40,14,888,0,1,0,0,0,0,0,0
9,20,40,15,465,0,1,0,0,0,0,0,0
9,20,40,17,832,0,1,0,0,0,0,0,0
9,20,40,18,351,0,1,0,0,0,0,0,0
9,20,40,20,256,1,0,0,0,0,0,0,0
9,20,40,20,891,0,1,0,0,0,0,0,0
9,20,40,21,237,0,1,0,0,0,0,0,0
9,20,40,22,160,0,1,0,0,0,0,0,0
9,20,40,22,795,1,0,0,0,0,0,0,0
9,20,40,22,911,0,1,0,0,0,0,0,0
9,20,40,23,142,0,1,0,0,0,0,0,0
9,20,40,23,257,0,1,0,0,0,0,0,0
9,20,40,23,372,0,1,0,0,0,0,0,0
9,20,40,23,546,0,1,0,0,0,0,0,0
9,20,40,23,950,0,1,0,0,0,0,0,0
9,20,40,25,450,0,1,0,0,0,0,0,0
9,20,40,26,85,0,1,0,0,0,0,0,0
9,20,40,26,201,0,1,0,0,0,0,0,0
9,20,40,26,489,0,1,0,0,0,0,0,0
9,20,40,26,662,0,0,1,0,0,0,0,0
9,20,40,26,951,0,1,0,0,0,0,0,0
9,20,40,27,142,0,1,0,0,0,0,0,0
9,20,40,27,182,0,1,0,0,0,0,0,0
9,20,40,27,759,0,1,0,0,0,0,0,0
9,20,40,28,394,1,0,0,0,0,0,0,0
9,20,40,29,837,0,1,0,0,0,0,0,0
9,20,40,30,183,0,1,0,0,0,0,0,0
9,20,40,31,972,0,1,0,0,0,0,0,0
9,20,40,32,492,0,1,0,0,0,0,0,0
9,20,40,32,780,1,0,0,0,0,0,0,0
9,20,40,33,531,1,0,0,0,0,0,0,0
9,20,40,33,819,0,1,0,0,0,0,0,0
9,20,40,34,223,0,1,0,0,0,0,0,0
9,20,40,35,781,0,1,0,0,0,0,0,0
9,20,40,36,763,0,2,0,0,0,0,0,0
9,20,40,36,993,0,1,0,0,0,0,0,0
9,20,40,37,167,0,2,0,0,0,0,0,0
9,20,40,40,341,0,1,0,0,0,0,0,0
9,20,40,41,726,0,1,0,0,0,0,0,0
9,20,40,41,784,0,2,0,0,0,0,0,0
9,20,40,42,361,0,1,0,1,0,0,0,0
9,20,40,42,418,0,2,0,0,0,0,0,0
9,20,40,42,476,0,1,0,0,0,0,0,0
9,20,40,42,649,0,1,0,0,0,0,0,0
9,20,40,42,707,0,1,0,0,0,0,0,0
9,20,40,43,284,0,1,0,0,0,0,0,0
9,20,40,43,400,0,3,0,0,0,0,0,0
9,20,40,44,496,0,1,0,0,0,0,0,0
9,20,40,45,131,0,1,0,0,0,0,0,0
9,20,40,45,189,0,1,0,0,0,0,0,0
9,20,40,45,246,1,0,0,0,0,0,0,0
9,20,40,46,54,1,0,0,0,0,0,0,0
9,20,40,46,747,0,1,0,0,0,0,0,0
9,20,40,46,862,0,1,0,0,0,0,0,0
9,20,40,47,94,0,1,0,0,0,0,0,0
9,20,40,47,267,0,1,0,0,0,0,0,0
9,20,40,48,363,0,1,0,0,0,0,0,0
9,20,40,48,479,0,1,0,0,0,0,0,0
9,20,40,48,883,0,1,0,0,0,0,0,0
9,20,40,49,344,1,1,0,0,0,0,0,0
9,20,40,49,460,0,1,0,0,0,0,0,0
9,20,40,51,191,0,1,0,0,0,0,0,0
9,20,40,51,595,1,0,0,0,0,0,0,0
9,20,40,51,768,0,1,0,0,0,0,0,0
9,20,40,52,634,1,0,0,0,0,0,0,0
9,20,40,53,153,0,1,0,0,0,0,0,0
9,20,40,53,904,0,1,0,1,0,0,0,0
9,20,40,54,135,0,1,0,0,0,0,0,0
9,20,40,54,539,0,2,0,0,0,0,0,0
9,20,40,55,0,0,1,0,0,0,0,0,0
9,20,40,55,462,0,1,0,0,0,0,0,0
9,20,40,55,981,0,1,0,0,0,0,0,0
9,20,40,56,443,0,0,0,1,0,0,0,0
9,20,40,56,962,0,1,0,0,0,0,0,0
9,20,40,57,136,0,1,0,0,0,0,0,0
9,20,40,57,597,0,1,0,0,0,0,0,0
9,20,40,57,713,0,1,0,0,0,0,0,0
9,20,40,57,770,0,2,0,0,0,0,0,0
9,20,40,59,906,0,0,0,1,0,0,0,0
9,20,41,0,21,0,2,0,0,0,0,0,0
9,20,41,0,483,0,1,0,0,0,0,0,0
9,20,41,0,945,1,1,0,0,0,0,0,0
9,20,41,1,984,0,1,0,0,0,0,0,0
9,20,41,2,561,0,1,0,0,0,0,0,0
9,20,41,2,676,0,1,0,0,0,0,0,0
9,20,41,3,138,1,0,0,0,0,0,0,0
9,20,41,3,369,0,1,0,0,0,0,0,0
9,20,41,3,542,0,1,0,0,0,0,0,0
9,20,41,3,600,0,1,0,0,0,0,0,0
9,20,41,3,888,0,1,0,0,0,0,0,0
9,20,41,4,869,0,1,0,0,0,0,0,0
9,20,41,5,158,0,1,0,0,0,0,0,0
9,20,41,5,389,0,1,0,0,0,0,0,0
9,20,41,5,793,1,1,0,0,0,0,0,0
9,20,41,5,908,0,2,0,0,0,0,0,0
9,20,41,6,197,0,1,0,0,0,0,0,0
9,20,41,7,63,0,1,0,0,0,0,0,0
9,20,41,7,120,0,2,0,0,0,0,0,0
9,20,41,7,178,0,1,0,0,0,0,0,0
9,20,41,7,697,0,1,0,0,0,0,0,0
9,20,41,7,928,0,1,0,0,0,0,0,0
9,20,41,8,101,0,1,0,0,0,0,0,0
9,20,41,10,6,0,1,0,0,0,0,0,0
9,20,41,10,64,0,1,0,0,0,0,0,0
9,20,41,10,641,0,1,0,0,0,0,0,0
9,20,41,10,929,0,1,0,0,0,0,0,0
9,20,41,10,987,1,0,0,0,0,0,0,0
9,20,41,12,488,0,1,0,0,0,0,0,0
9,20,41,18,317,0,1,0,0,0,0,0,0
9,20,41,18,432,0,1,0,0,0,0,0,0
9,20,41,19,875,0,1,0,0,0,0,0,0
9,20,41,22,184,0,1,0,0,0,0,0,0
9,20,41,22,530,0,1,0,0,0,0,0,0
9,20,41,22,645,0,1,0,0,0,0,0,0
9,20,41,26,224,0,1,0,0,0,0,0,0
9,20,41,26,743,0,0,1,0,0,0,0,0
9,20,41,27,378,0,1,0,0,0,0,0,0
9,20,41,27,551,0,0,0,1,0,0,0,0
9,20,41,28,128,0,1,0,0,0,0,0,0
9,20,41,28,186,0,1,0,0,0,0,0,0
9,20,41,28,417,0,0,1,0,0,0,0,0
9,20,41,29,513,0,1,0,0,0,0,0,0
9,20,41,31,418,0,0,1,0,0,0,0,0
9,20,41,32,514,0,1,0,0,0,0,0,0
9,20,41,33,842,0,1,0,0,0,0,0,0
9,20,41,33,957,0,1,0,0,0,0,0,0
9,20,41,35,862,0,1,0,0,0,0,0,0
9,20,41,36,958,0,1,0,0,0,0,0,0
9,20,41,40,537,0,1,0,0,0,0,0,0
9,20,41,45,500,0,1,0,0,0,0,0,0
9,20,41,45,847,0,0,1,0,0,0,0,0
9,20,41,46,366,0,1,0,0,0,0,0,0
9,20,41,47,116,0,1,0,0,0,0,0,0
9,20,41,49,771,1,0,0,0,0,0,0,0
9,20,41,50,175,0,1,0,0,0,0,0,0
9,20,41,56,697,0,0,1,0,0,0,0,0
9,20,42,0,737,0,0,1,0,0,0,0,0
9,20,42,4,546,0,1,0,0,0,0,0,0
9,20,42,6,335,0,0,1,0,0,0,0,0
9,20,42,6,450,1,0,0,0,0,0,0,0
9,20,42,6,970,0,1,0,0,0,0,0,0
9,20,42,7,547,1,1,0,0,0,0,0,0
9,20,42,8,124,0,1,0,0,0,0,0,0
9,20,42,8,355,0,0,1,0,0,0,0,0
9,20,42,9,682,0,1,0,0,0,0,0,0
9,20,42,9,913,0,2,0,0,0,0,0,0
9,20,42,12,684,0,1,0,0,0,0,0,0
9,20,42,13,492,0,1,0,0,0,0,0,0
9,20,42,35,481,0,0,0,1,0,0,0,0
9,20,42,36,404,0,1,0,0,0,0,0,0
9,20,42,40,502,0,0,1,0,0,0,0,0
9,20,42,41,945,0,0,1,0,0,0,0,0
