"date","downcast","hour","min","sec","s/1000","sol_small","sol_large"
2010-10-17,1,23,53,44,944,1,0
2010-10-17,1,23,53,46,675,1,0
2010-10-17,1,23,53,47,252,1,0
2010-10-17,1,23,53,48,407,1,0
2010-10-17,1,23,53,48,984,1,0
2010-10-17,1,23,53,48,735,1,0
2010-10-17,1,23,53,56,545,1,0
2010-10-17,1,23,53,58,870,1,0
2010-10-17,1,23,53,59,719,1,0
2010-10-17,1,23,54,0,897,1,0
2010-10-17,1,23,54,2,923,1,0
2010-10-17,1,23,54,3,793,1,0
2010-10-17,1,23,54,5,490,2,0
2010-10-17,1,23,54,6,108,1,0
2010-10-17,1,23,54,6,398,1,0
2010-10-17,1,23,54,8,425,1,0
2010-10-17,1,23,54,8,714,1,0
2010-10-17,1,23,54,23,151,1,0
2010-10-17,1,23,54,25,797,1,0
2010-10-17,1,23,54,29,561,1,0
2010-10-17,1,23,54,37,637,1,0
2010-10-17,1,23,54,55,329,1,0
2010-10-17,1,23,54,55,340,1,0
2010-10-18,2,0,10,11,343,0,1
2010-10-18,2,0,10,15,383,0,1
2010-10-18,2,0,10,20,277,1,0
2010-10-18,2,0,10,44,125,0,1
2010-10-18,2,0,10,44,991,1,0
2010-10-18,2,0,10,49,319,0,1
2010-10-18,2,0,11,0,54,0,1
2010-10-18,2,0,11,19,866,0,1
2010-10-18,2,0,11,48,73,1,0
2010-10-18,2,0,18,26,361,0,1
2010-10-18,3,0,28,27,574,0,1
2010-10-18,3,0,28,41,772,1,0
2010-10-18,3,0,28,46,677,1,0
2010-10-18,3,0,29,0,760,0,1
2010-10-18,3,0,29,6,69,0,1
2010-10-18,3,0,29,14,784,0,1
2010-10-18,3,0,29,21,999,0,1
2010-10-18,3,0,29,22,287,0,1
2010-10-18,3,0,29,24,307,2,0
2010-10-18,3,0,29,30,656,0,1
2010-10-18,3,0,29,38,216,0,1
2010-10-18,3,0,29,41,968,0,1
2010-10-18,3,0,29,42,545,1,0
2010-10-18,3,0,29,46,296,0,1
2010-10-18,3,0,29,52,414,0,1
2010-10-18,3,0,30,1,13,0,1
2010-10-18,3,0,30,2,745,1,0
2010-10-18,3,0,30,4,188,1,0
2010-10-18,3,0,30,4,476,1,0
2010-10-18,4,0,45,16,540,1,1
2010-10-18,4,0,45,34,258,0,1
2010-10-18,4,0,45,38,875,0,1
2010-10-18,4,0,45,40,895,0,1
2010-10-18,4,0,45,50,476,0,1
2010-10-18,4,0,45,54,227,1,0
2010-10-18,4,0,45,56,825,0,1
2010-10-18,4,0,46,0,345,0,1
2010-10-18,4,0,46,4,674,0,1
2010-10-18,4,0,46,9,2,1,0
2010-10-18,4,0,46,25,220,1,0
2010-10-18,5,0,59,56,514,0,1
2010-10-18,5,1,0,0,554,0,1
2010-10-18,5,1,0,8,57,1,0
2010-10-18,5,1,0,9,500,0,1
2010-10-18,5,1,0,14,175,0,1
2010-10-18,5,1,0,18,530,0,1
2010-10-18,5,1,0,22,544,0,0
2010-10-18,5,1,0,23,121,0,0
2010-10-18,5,1,0,29,470,0,0
2010-10-18,5,1,0,30,393,0,0
2010-10-18,5,1,0,33,567,0,0
2010-10-18,5,1,0,37,896,0,0
2010-10-18,5,1,0,38,473,0,0
2010-10-18,5,1,0,39,339,0,0
2010-10-18,5,1,0,41,70,0,0
2010-10-18,5,1,0,43,90,0,0
2010-10-18,5,1,0,44,822,0,0
2010-10-18,5,1,0,47,477,0,1
2010-10-18,5,1,0,50,74,0,3
2010-10-18,5,1,0,51,288,0,1
2010-10-18,5,1,0,57,576,0,1
2010-10-18,5,1,0,58,154,0,1
2010-10-18,5,1,0,58,731,0,1
2010-10-18,5,1,1,0,462,0,1
2010-10-18,5,1,1,1,396,0,1
2010-10-18,5,1,1,2,7771,0,1
2010-10-18,5,1,1,11,197,0,1
2010-10-18,5,1,1,12,929,0,1
2010-10-18,5,1,1,21,8,0,1
2010-10-18,5,1,1,32,989,0,1
2010-10-18,5,1,1,46,230,0,1
2010-10-18,5,1,1,54,621,0,1
2010-10-18,5,1,1,57,253,1,0
2010-10-18,5,1,2,0,716,0,1
2010-10-18,5,1,2,1,5,0,1
2010-10-18,5,1,2,1,870,0,2
2010-10-18,5,1,2,4,756,0,1
2010-10-18,5,1,2,7,64,0,1
2010-10-18,5,1,2,8,507,1,0
2010-10-18,5,1,2,9,662,0,1
2010-10-18,5,1,2,11,393,0,1
2010-10-18,5,1,2,20,397,0,1
2010-10-18,5,1,2,20,974,1,0
2010-10-18,5,1,2,43,194,1,0
2010-10-18,5,1,2,52,832,1,0
2010-10-18,5,1,2,58,26,1,0
2010-10-18,6,1,17,17,51,0,1
2010-10-18,6,1,17,17,397,0,1
2010-10-18,6,1,17,17,686,0,1
2010-10-18,6,1,17,17,974,0,1
2010-10-18,6,1,17,18,263,0,3
2010-10-18,6,1,17,19,128,0,1
2010-10-18,6,1,17,19,706,0,2
2010-10-18,6,1,17,19,994,0,2
2010-10-18,6,1,17,20,283,0,1
2010-10-18,6,1,17,20,571,0,2
2010-10-18,6,1,17,20,860,0,3
2010-10-18,6,1,17,21,148,0,1
2010-10-18,6,1,17,21,437,0,1
2010-10-18,6,1,17,22,303,0,1
2010-10-18,6,1,17,22,880,0,1
2010-10-18,6,1,17,23,457,0,1
2010-10-18,6,1,17,24,323,0,1
2010-10-18,6,1,17,26,54,0,2
2010-10-18,6,1,17,26,343,0,1
2010-10-18,6,1,17,26,631,0,1
2010-10-18,6,1,17,26,920,0,1
2010-10-18,6,1,17,27,785,0,1
2010-10-18,6,1,17,28,363,0,2
2010-10-18,6,1,17,28,651,0,1
2010-10-18,6,1,17,28,940,1,0
2010-10-18,6,1,17,29,228,0,2
2010-10-18,6,1,17,30,94,0,3
2010-10-18,6,1,17,30,383,0,2
2010-10-18,6,1,17,30,960,1,0
2010-10-18,6,1,17,31,248,0,1
2010-10-18,6,1,17,31,537,0,2
2010-10-18,6,1,17,32,114,0,1
2010-10-18,6,1,17,32,403,0,1
2010-10-18,6,1,17,32,980,0,2
2010-10-18,6,1,17,33,268,0,1
2010-10-18,6,1,17,33,557,0,2
2010-10-18,6,1,17,34,134,0,1
2010-10-18,6,1,17,35,58,0,5
2010-10-18,6,1,17,35,346,0,1
2010-10-18,6,1,17,35,635,0,1
2010-10-18,6,1,17,35,923,0,1
2010-10-18,6,1,17,36,154,0,1
2010-10-18,6,1,17,36,443,0,2
2010-10-18,6,1,17,36,731,0,1
2010-10-18,6,1,17,37,20,0,1
2010-10-18,6,1,17,37,308,0,3
2010-10-18,6,1,17,37,886,0,3
2010-10-18,6,1,17,38,174,0,1
2010-10-18,6,1,17,38,463,0,1
2010-10-18,6,1,17,38,751,0,1
2010-10-18,6,1,17,39,328,0,1
2010-10-18,6,1,17,39,617,0,3
2010-10-18,6,1,17,39,906,0,3
2010-10-18,6,1,17,40,194,0,3
2010-10-18,6,1,17,40,483,0,2
2010-10-18,6,1,17,40,771,0,1
2010-10-18,6,1,17,41,60,0,3
2010-10-18,6,1,17,41,348,0,2
2010-10-18,6,1,17,41,637,0,3
2010-10-18,6,1,17,41,926,0,1
2010-10-18,6,1,17,42,503,1,1
2010-10-18,6,1,17,42,791,0,2
2010-10-18,6,1,17,43,80,0,2
2010-10-18,6,1,17,43,368,0,3
2010-10-18,6,1,17,43,657,0,2
2010-10-18,6,1,17,43,945,0,2
2010-10-18,6,1,17,44,234,0,1
2010-10-18,6,1,17,44,523,0,1
2010-10-18,6,1,17,44,811,0,2
