Transect,Downcast,Inshore/Offshore/Front,File,hour,min,sec,s/1000,Frame,Lowest Classification,In/Out,Size,Degradation
10/15/10,5,Inshore,1,21,9,42,656,220,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,260,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,260,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,260,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,260,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,280,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,280,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,280,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,300,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,1,21,9,42,656,300,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,21,Oik-n,Unk,Sm,-
10/15/10,5,Inshore,2,21,10,0,15,41,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,41,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,61,Oik-like,Out,Sm,0
10/15/10,5,Inshore,2,21,10,0,15,81,Oik-like,Out,Sm,0
10/15/10,5,Inshore,2,21,10,0,15,81,Oik-n,In,Sm,-
10/15/10,5,Inshore,2,21,10,0,15,101,Oik-like,Out,Sm,0
10/15/10,5,Inshore,2,21,10,0,15,141,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,181,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,2,21,10,0,15,201,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,221,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,221,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,2,21,10,0,15,241,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,2,21,10,0,15,281,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,21,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,3,21,10,17,421,121,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,3,21,10,17,421,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,161,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,161,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,161,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,181,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,3,21,10,17,421,181,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,3,21,10,17,421,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,241,Oik-n,In,Sm,-
10/15/10,5,Inshore,3,21,10,17,421,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,3,21,10,17,421,241,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,3,21,10,17,421,261,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,1,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,1,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,1,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,21,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,41,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,4,21,10,34,796,61,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,101,Oik-like,In,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,101,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,141,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,4,21,10,34,796,161,Oik-like,In,Tiny,-
10/15/10,5,Inshore,4,21,10,34,796,181,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,4,21,10,34,796,201,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,221,Oik-like,In,Sm,-
10/15/10,5,Inshore,4,21,10,34,796,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,241,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,4,21,10,34,796,261,Oik-n,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,281,Oik-like,Out,Sm,0
10/15/10,5,Inshore,4,21,10,34,796,281,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,41,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,41,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,61,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,61,Oik-n,In,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,101,Oik-like,In,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,101,Oik-like,In,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,101,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,5,21,10,52,187,101,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,141,Oik-like,In,Tiny,-
10/15/10,5,Inshore,5,21,10,52,187,141,Oik-like,Out,Med,0
10/15/10,5,Inshore,5,21,10,52,187,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,161,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,5,21,10,52,187,181,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,201,Oik-like,In,Sm,-
10/15/10,5,Inshore,5,21,10,52,187,221,Oik-like,Out,Med,0
10/15/10,5,Inshore,5,21,10,52,187,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,5,21,10,52,187,241,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,5,21,10,52,187,281,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,21,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,21,Oik-like,In,Tiny,-
10/15/10,5,Inshore,6,21,11,9,390,41,Oik-like,In,Sm,-
10/15/10,5,Inshore,6,21,11,9,390,61,Oik-n,Out,Med,0
10/15/10,5,Inshore,6,21,11,9,390,61,Oik-n,Out,Med,0
10/15/10,5,Inshore,6,21,11,9,390,61,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,6,21,11,9,390,81,Oik-n,In,Med,1
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-n,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-n,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-n,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,121,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,181,Oik-like,Out,Med,0
10/15/10,5,Inshore,6,21,11,9,390,201,Oik-like,In,Sm,2
10/15/10,5,Inshore,6,21,11,9,390,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,221,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,6,21,11,9,390,241,Oik-like,Out,Med,0
10/15/10,5,Inshore,6,21,11,9,390,241,Oik-n,In,Sm,2
10/15/10,5,Inshore,6,21,11,9,390,261,Unk,In,Sm,Unk
10/15/10,5,Inshore,6,21,11,9,390,261,Oik-n,Out,Med,0
10/15/10,5,Inshore,7,21,11,26,828,1,Oik-like,Out,Med,0
10/15/10,5,Inshore,7,21,11,26,828,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,21,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,21,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,41,Oik-like,Out,Med,0
10/15/10,5,Inshore,7,21,11,26,828,61,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,101,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,161,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,201,Oik-like,Out,Sm,0
10/15/10,5,Inshore,7,21,11,26,828,201,Oik-like,Unk,Sm,-
10/15/10,5,Inshore,7,21,11,26,828,221,Oik-like,In,Sm,3
10/15/10,5,Inshore,8,21,11,44,171,1,Oik-like,In,Tiny,-
10/15/10,5,Inshore,8,21,11,44,171,1,Oik-like,Out,Sm,0
10/15/10,5,Inshore,8,21,11,44,171,41,Oik-like,Out,Sm,0
10/15/10,5,Inshore,8,21,11,44,171,61,Oik-like,Out,Med,0
10/15/10,5,Inshore,8,21,11,44,171,181,Oik-like,Out,Med,0
10/15/10,5,Inshore,8,21,11,44,171,201,Oik-like,Out,Sm,0
10/15/10,5,Inshore,8,21,11,44,171,241,Oik-like,Out,Med,0
