dateTime,bx,by,width,height,angle,length,group
10-15-10223330409,747,1718,113,29,14.394,116.662,Siphonophore
10-15-10211258141,737,577,128,20,-8.881,129.553,Siphonophore
10-15-10224808189,1077,357,279,93,-18.435,294.092,Siphonophore
10-15-10203031831,1311,978,99,114,49.028,150.987,Siphonophore
10-15-10225209667,1745,1076,34,48,125.311,58.822,Siphonophore
10-15-10225247585,1170,1647,25,52,64.323,57.697,Siphonophore
10-15-10204138550,1767,1957,124,49,158.839,133.208,Siphonophore
10-15-10230526243,1792,589,98,43,156.309,107.019,Siphonophore
10-15-10200339345,1232,395,42,96,-113.629,104.785,Siphonophore
10-15-10202114713,826,1242,45,9,12.265,46.284,Siphonophore
10-15-10203952182,1483,1811,33,7,11.976,33.48,Siphonophore
10-15-10204130470,906,636,97,19,-11.083,99.107,Siphonophore
10-15-10205505515,527,144,47,15,17.7,48.859,Siphonophore
10-15-10205527389,1709,1607,20,59,71.274,62.613,Siphonophore
10-15-10202755310,1617,1197,18,120,98.531,121.342,Siphonophore
10-15-10200357929,1226,775,79,11,7.927,79.479,Siphonophore
10-15-10202235282,1496,776,40,41,-45.707,57.519,Siphonophore
10-15-10202254790,1283,1792,20,62,-107.879,65.146,Siphonophore
10-15-10202333747,1149,662,57,29,27.378,63.809,Siphonophore
10-15-10202417841,785,1586,64,34,27.979,72.471,Siphonophore
10-15-10202531601,979,476,75,10,-7.496,75.994,Siphonophore
10-15-10204052725,1577,717,61,23,-21.477,65.622,Siphonophore
10-15-10204104498,816,886,17,77,-77.391,78.602,Siphonophore
10-15-10204109577,840,580,119,49,-22.38,128.693,Siphonophore
10-15-10204121813,1974,1057,62,85,-125.789,105.479,Siphonophore
10-15-10204228531,986,1755,109,58,-28.018,123.765,Siphonophore
10-15-10204247866,841,642,105,0,180,105.333,Siphonophore
10-15-10200801542,1969,528,65,229,-105.846,238.046,Siphonophore
10-15-10202627179,316,145,158,87,-28.839,180.209,Siphonophore
10-15-10204418708,1573,1007,252,14,3.18,252.389,Siphonophore
10-15-10204515672,1179,167,227,29,-7.249,229.134,Siphonophore
10-15-10205635146,514,300,235,47,-11.31,239.654,Siphonophore
10-15-10205838424,1303,1448,503,63,7.153,506.558,Siphonophore
10-15-10212858164,253,1847,107,21,11.104,108.779,Siphonophore
10-15-10214126838,1874,277,27,41,-56.634,49.189,Siphonophore
10-15-10202117137,1472,1235,13,7,-33.69,14.636,Hydromedusae
10-15-10203933656,213,774,14,8,29.745,16.125,Hydromedusae
10-15-10203937696,1654,1356,11,3,15.255,10.995,Hydromedusae
10-15-10203940755,1376,842,10,2,-11.31,10.198,Hydromedusae
10-15-10205546435,1460,1702,38,6,-8.973,38.471,Hydromedusae
10-15-10211104731,1467,1868,13,1,-8.746,13.4,Hydromedusae
10-15-10212615295,938,1148,28,0,0,28,Hydromedusae
10-15-10214028662,1035,1854,27,16,30.651,31.672,Hydromedusae
