transect,downcast,year,month,date,hour,min,sec,s/1000,#,BX,BY,Length,Theta,Phi,Phi360
1,1,2010,10,15,20,04,43,004,1,1788,618,164.596,90,94.879,355.121
1,2,2010,10,15,20,23,24,570,1,1866,1206,149.345,270,82.304,172.304
1,2,2010,10,15,20,24,34,694,1,1455,1149,206.194,85.48530303,98.366,351.634
1,4,2010,10,15,20,56,42,476,2,854,855,162.049,270,91.414,181.414
1,6,2010,10,15,21,26,49,404,1,330,1121,133.81,230,73.055,163.055
1,6,2010,10,15,21,27,10,527,1,1210,1936,160.501,290,94.645,184.645
1,7,2010,10,15,21,40,42,744,1,309,1518,160.112,260.9822757,92.148,182.148
1,7,2010,10,15,21,40,43,610,1,162,0,105.973,220,49.222,139.222
1,7,2010,10,15,21,40,52,267,1,1458,1899,119.215,310,83.202,173.202
1,7,2010,10,15,21,41,05,599,1,179,1702,117.929,300,97.621,187.621
1,7,2010,10,15,21,41,05,599,2,1341,232,110.535,50,41.332,131.332
1,7,2010,10,15,21,41,37,457,1,1433,1272,164.318,270,103.699,193.699
1,8,2010,10,15,21,56,42,942,1,23,593,128.494,90,71.424,18.576
1,8,2010,10,15,21,57,18,263,1,593,1446,124.016,90,90.924,359.076
1,8,2010,10,15,21,57,54,392,1,918,103,146.945,90,144.145,305.855
1,8,2010,10,15,21,57,56,297,1,1548,270,119.14,270,113.325,203.325
1,9,2010,10,15,22,14,47,917,1,737,1134,135.871,320,141.274,231.274
1,11,2010,10,15,22,46,16,512,1,214,413,100.178,20,169.695,280.305
1,11,2010,10,15,22,46,20,667,1,629,871,120.978,270,129.428,219.428
1,11,2010,10,15,22,46,27,247,1,1012,972,84.149,60,57.031,32.969
1,11,2010,10,15,22,46,36,135,1,1279,228,117.047,294.7294898,150.322,240.322
1,11,2010,10,15,22,46,36,712,1,457,1317,124.992,20,168.959,281.041
1,11,2010,10,15,22,46,37,578,1,619,472,150.001,280,90.382,180.382
1,11,2010,10,15,22,46,42,945,1,923,1592,195.596,280,101.195,191.195
1,11,2010,10,15,22,46,42,945,2,1874,288,164.873,240,94.532,355.468
1,12,2010,10,15,23,03,04,613,1,1364,1963,93.979,60.73352628,140.583,309.417
1,12,2010,10,15,23,03,04,613,2,668,83,127.513,53.9726243,83.264,6.736
1,12,2010,10,15,23,03,09,518,1,1864,375,187.306,220,96.429,186.429
1,12,2010,10,15,23,03,09,518,2,497,1425,144.056,260,91.591,181.591
1,12,2010,10,15,23,03,28,737,1,1622,1103,58.21,90,20.323,69.677
1,12,2010,10,15,23,03,28,737,1,1590,1930,114.018,40,127.875,322.125
1,12,2010,10,15,23,03,28,737,2,1623,1090,68.942,90,23.962,66.038
1,12,2010,10,15,23,03,34,913,1,120,336,336,90,90,0
1,12,2010,10,15,23,03,34,913,2,864,1044,166.901,30,134.029,315.971
1,12,2010,10,15,23,03,40,394,1,440,328,134.402,90,143.471,306.529
1,12,2010,10,15,23,03,40,394,2,216,1262,94.303,308.2512938,145.804,235.804
1,12,2010,10,15,23,03,43,569,1,712,1576,351.272,42.74265152,120.069,329.931
