Cruise# test1
Date: 10/16/10

CTD probe# 
DVL# 
Oxy Probe# 
Fluorometer# 
Irradiance Probe# 666
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)
18:32:55.42	1.96	1.95	17.10	33.56	0.08	4.7049	-1.485132E-7	2776.00	-12.00	0.00	9999.99	2.11	-1.78	256.70	32° 46'29.64N	119° 07'8.46W	-57.00	-57.00	2776.00	-12.00
18:32:56.07	1.66	1.65	17.11	33.54	0.09	4.7465	-1.609899E-7	2954.00	-116.00	0.00	9999.99	1.80	-1.55	254.50	32° 46'29.64N	119° 07'8.46W	-66.00	-66.00	2954.00	-116.00
18:32:56.78	1.64	1.63	17.11	33.55	0.09	4.7618	-1.762226E-7	2954.00	-116.00	0.00	9999.99	1.80	-1.55	254.50	32° 46'29.64N	119° 07'8.76W	-66.00	-66.00	2954.00	-116.00
18:32:57.39	1.57	1.56	17.10	33.55	0.08	4.7599	-1.609899E-7	2673.00	-57.00	0.00	9999.99	3.40	-0.48	253.60	32° 46'29.64N	119° 07'8.76W	-33.00	-33.00	2673.00	-57.00
18:32:57.98	1.51	1.50	17.10	33.55	0.09	4.7517	-1.462756E-7	2673.00	-57.00	0.00	9999.99	3.40	-0.48	253.60	32° 46'29.64N	119° 07'8.76W	-33.00	-33.00	2673.00	-57.00
18:32:59.20	1.47	1.46	17.11	33.55	0.09	4.7174	-1.662889E-7	2718.00	-45.00	0.00	9999.99	2.82	-1.19	253.10	32° 46'29.64N	119° 07'8.76W	-101.00	-101.00	2718.00	-45.00
18:32:59.79	1.43	1.42	17.11	33.54	0.09	4.7252	-1.377835E-7	2485.00	144.00	0.00	9999.99	2.48	-0.97	253.60	32° 46'29.64N	119° 07'8.76W	-156.00	-156.00	2485.00	144.00
18:33:00.40	1.45	1.44	17.11	33.55	0.08	4.7189	-1.389975E-7	2485.00	144.00	0.00	9999.99	2.48	-0.97	253.60	32° 46'29.64N	119° 07'9.12W	-156.00	-156.00	2485.00	144.00
18:33:01.01	1.47	1.46	17.10	33.56	0.09	4.7325	-1.540101E-7	2670.00	-136.00	0.00	9999.99	0.33	-2.44	257.20	32° 46'29.64N	119° 07'9.12W	-168.00	-168.00	2670.00	-136.00
18:33:01.71	1.51	1.50	17.11	33.55	0.09	4.7340	-1.632217E-7	2670.00	-136.00	0.00	9999.99	0.33	-2.44	257.20	32° 46'29.64N	119° 07'9.12W	-168.00	-168.00	2670.00	-136.00
